FBgn0004629 	CYTL_DROME
FBgn0264294 	CYB5_DROME
FBgn0000406 	CYB5R_DROME
FBgn0086907 	CYC1_DROME
FBgn0000409 	CYC2_DROME
FBgn0000411 	DICH_DROME
FBgn0000412 	CPD1_DROME
FBgn0267821 	DA_DROME
FBgn0000414 	DAB_DROME
FBgn0263930 	DALY_DROME
FBgn0039286 	DAN_DROME
FBgn0039283 	DANR_DROME
FBgn0263239 	DAR1_DROME
FBgn0015582 	ADRO_DROME
FBgn0019643 	DNAT_DROME
FBgn0034136 	DAT_DROME
FBgn0020305 	KRR1_DROME
FBgn0010387 	ACBP_DROME
FBgn0040230 	KLHDB_DROME
FBgn0010220 	DDX49_DROME
FBgn0004556 	DDX51_DROME
FBgn0024804 	DDX19_DROME
FBgn0002413 	DCO_DROME
FBgn0010501 	CASP1_DROME
FBgn0039016 	DCR1_DROME
FBgn0021825 	DCTN2_DROME
FBgn0259099 	EMAL_DROME
FBgn0029067 	CNEP1_DROME
FBgn0000422 	DDC_DROME
FBgn0015075 	DDX1_DROME
FBgn0013799 	DEAF1_DROME
FBgn0000427 	DEC11_DROME
FBgn0010385 	DEFI_DROME
FBgn0086251 	DEL_DROME
FBgn0010358 	TRYDG_DROME
FBgn0030802 	DENR_DROME
FBgn0267972 	DERL1_DROME
FBgn0000439 	DFD_DROME
FBgn0085390 	DGK1_DROME
FBgn0032048 	DIUX_DROME
FBgn0261797 	DYHC_DROME
FBgn0011761 	THIO1_DROME
FBgn0004087 	DYR_DROME
FBgn0000447 	PYRD_DROME
FBgn0011202 	DIA_DROME
FBgn0260635 	DIAP1_DROME
FBgn0015247 	DIAP2_DROME
FBgn0000449 	CP302_DROME
FBgn0039666 	DIE_DROME
FBgn0011274 	DIF_DROME
FBgn0033447 	CP131_DROME
FBgn0023091 	DIMM_DROME
FBgn0024806 	DIP2_DROME
FBgn0000459 	DISC_DROME
FBgn0029088 	DISP_DROME
FBgn0019828 	DJ_DROME
FBgn0000463 	DL_DROME
FBgn0260632 	DORS_DROME
FBgn0024432 	DYLT_DROME
FBgn0001624 	DLG1_DROME
FBgn0000157 	DLL_DROME
FBgn0024510 	DLT_DROME
FBgn0262656 	MYC_DROME
FBgn0011581 	NEMS_DROME
FBgn0278604 	DALMA_DROME
FBgn0263106 	DNAJ1_DROME
FBgn0260775 	DNJ60_DROME
FBgn0262619 	DNLI1_DROME
